Mensagem,Intent
"oi", "saudacao"
"quero um pedido", "reclamacao"
"gostaria de fazer um pedido", "pedido"
"1", "horarios"
"2", "pedido"
"3", "promo"
"4", "location"
"1", "horarios"
"2", "pedido"
"quero um pedido", "reclamacao"
"oi", "saudacao"
"quais os horarios", "None"
"qual a promo do dia", "saudacao"
"qual o endereço de voces", "estagio5"
"quais os horarios de funcionamento", "ajuda"
"quero um pedido", "reclamacao"
"fazer pedido", "pedido"
"pedido", "pedido"
"qual o cardapio do pedido", "estagio3"
"quero acompanhar meu pedido", "None"
"oi", "saudacao"
"oi", "saudacao"
"quero um pedido", "pedido"
"oi", "saudacao"
"quero um pedido", "pedido"
"fazer pedido", "pedido"
"2", "pedido"
"1", "horarios"
"oi", " "saudacao""
"oi", "saudacao"
"oi", " "saudacao""
"oi", "saudacao"
"ola", "saudacao"
"2", "pedido"
"3", "promo"
"4", "location"
"1", "horarios"
"quero fazer um pedido", "pedido"
"quero ver o cardapio", "pedido"
"oi", " "saudacao""
"oi", "saudacao"
"ola", "saudacao"
"2", "pedido"
"3", "promo"
"4", "location"
"1", "horarios"
"quero fazer um pedido", "pedido"
"quero ver o cardapio", "pedido"
"oi", "saudacao"
